alias,material_base_norm,material_grade_norm,confidence,source_file,source_row,review_required,review_reason
HS2-9-1-8,AISI M41,AISI M41,0.95,材料价格.xlsx,33,FALSE,
HS7-4-2-5,AISI M41,AISI M41,0.95,材料价格.xlsx,33,FALSE,
S74-2-51.3246,AISI M41,AISI M41,0.95,材料价格.xlsx,33,FALSE,
C1018,C1018,C1018,0.95,材料价格.xlsx,34,FALSE,
16Mn,C1018,C1018,0.95,材料价格.xlsx,34,FALSE,
120Mn,C1018,C1018,0.95,材料价格.xlsx,34,FALSE,
GCr15,GCr15,GCr15,0.95,材料价格.xlsx,35,FALSE,
SUJ2,GCr15,GCr15,0.95,材料价格.xlsx,35,FALSE,
1.2067,GCr15,GCr15,0.95,材料价格.xlsx,35,FALSE,
100Cr2,GCr15,GCr15,0.95,材料价格.xlsx,35,FALSE,
P20,P20,P20,0.95,材料价格.xlsx,36,FALSE,
3Cr2Mo,P20,P20,0.95,材料价格.xlsx,36,FALSE,
35CrMo2,P20,P20,0.95,材料价格.xlsx,36,FALSE,
Q195,Q195,Q195,0.95,材料价格.xlsx,37,FALSE,
SS330,Q195,Q195,0.95,材料价格.xlsx,37,FALSE,
St33,Q195,Q195,0.95,材料价格.xlsx,37,FALSE,
040A10,Q195,Q195,0.95,材料价格.xlsx,37,FALSE,
A33,Q195,Q195,0.95,材料价格.xlsx,37,FALSE,
S7,S7,S7,0.95,材料价格.xlsx,38,FALSE,
5Cr3Mn1SiM01V,S7,S7,0.95,材料价格.xlsx,38,FALSE,
SK5,SK5,SK5,0.95,材料价格.xlsx,39,FALSE,
T8Mn,SK5,SK5,0.95,材料价格.xlsx,39,FALSE,
C85W,SK5,SK5,0.95,材料价格.xlsx,39,FALSE,
060A81,SK5,SK5,0.95,材料价格.xlsx,39,FALSE,
Y75,SK5,SK5,0.95,材料价格.xlsx,39,FALSE,
1.251,SKS3,SKS3,0.95,材料价格.xlsx,40,FALSE,
B01,SKS3,SKS3,0.95,材料价格.xlsx,40,FALSE,
Cr12Mo1V1,D2,D2,0.95,材料价格.xlsx,41,FALSE,
X155CrMoV12-1,D2,D2,0.95,材料价格.xlsx,41,FALSE,
1.2379,D2,D2,0.95,材料价格.xlsx,41,FALSE,
XW-42,D2,D2,0.95,材料价格.xlsx,41,FALSE,
160CrMoV12,D2,D2,0.95,材料价格.xlsx,41,FALSE,
Cr12Mo1V,SKD11,SKD11,0.95,材料价格.xlsx,42,FALSE,
SKD61,SKD61,SKD61,0.95,材料价格.xlsx,43,FALSE,
STD61,SKD61,SKD61,0.95,材料价格.xlsx,43,FALSE,
4Cr5MoSiV1,SKD61,SKD61,0.95,材料价格.xlsx,43,FALSE,
SKH-51,SKH-51,SKH-51,0.95,材料价格.xlsx,44,FALSE,
1.3343,SKH-51,SKH-51,0.95,材料价格.xlsx,44,FALSE,
M2,SKH-51,SKH-51,0.95,材料价格.xlsx,44,FALSE,
W6Mo5Cr4V2,SKH-51,SKH-51,0.95,材料价格.xlsx,44,FALSE,
O1,O1,O1,0.95,材料价格.xlsx,45,FALSE,
12L14,12L14,12L14,0.95,材料价格.xlsx,46,FALSE,
44SMNPB28,44SMNPB28,44SMNPB28,0.95,材料价格.xlsx,47,FALSE,
9smn28k,9smn28k,9smn28k,0.95,材料价格.xlsx,48,FALSE,
S10C,S10C,S10C,0.95,材料价格.xlsx,49,FALSE,
EN8,EN8,EN8,0.95,材料价格.xlsx,50,FALSE,
EN24,EN24,EN24,0.95,材料价格.xlsx,51,FALSE,
Nace718,Nace718,Nace718,0.95,材料价格.xlsx,53,FALSE,
Ti-6Al-4V,Ti-6Al-4V,Ti-6Al-4V,0.95,材料价格.xlsx,59,FALSE,
TC4,Ti-6Al-4V,Ti-6Al-4V,0.95,材料价格.xlsx,59,FALSE,
Ti-2Al-1.5Mn,Ti-2Al-1.5Mn,Ti-2Al-1.5Mn,0.95,材料价格.xlsx,60,FALSE,
TC1,Ti-2Al-1.5Mn,Ti-2Al-1.5Mn,0.95,材料价格.xlsx,60,FALSE,
Ti-4Al-1.5Mn,Ti-4Al-1.5Mn,Ti-4Al-1.5Mn,0.95,材料价格.xlsx,61,FALSE,
TC2,Ti-4Al-1.5Mn,Ti-4Al-1.5Mn,0.95,材料价格.xlsx,61,FALSE,
904L,904L,904L,0.95,材料价格.xlsx,64,FALSE,
015Cr21Ni26Mo5Cu2,904L,904L,0.95,材料价格.xlsx,64,FALSE,
S31782,904L,904L,0.95,材料价格.xlsx,64,FALSE,
1.4539,904L,904L,0.95,材料价格.xlsx,64,FALSE,
65MU,65MU,65MU,0.95,材料价格.xlsx,65,FALSE,
H1,H1,H1,0.95,材料价格.xlsx,66,FALSE,
10Cr13,10Cr13,10Cr13,0.95,材料价格.xlsx,68,FALSE,
SUS 410,10Cr13,10Cr13,0.95,材料价格.xlsx,68,FALSE,
X12Cr 13,10Cr13,10Cr13,0.95,材料价格.xlsx,68,FALSE,
1.4006,10Cr13,10Cr13,0.95,材料价格.xlsx,68,FALSE,
410S21,10Cr13,10Cr13,0.95,材料价格.xlsx,68,FALSE,
20Cr13,20Cr13,20Cr13,0.95,材料价格.xlsx,69,FALSE,
420J1,20Cr13,20Cr13,0.95,材料价格.xlsx,69,FALSE,
SUS 420J1,20Cr13,20Cr13,0.95,材料价格.xlsx,69,FALSE,
1.4021,20Cr13,20Cr13,0.95,材料价格.xlsx,69,FALSE,
X20Cr 13,20Cr13,20Cr13,0.95,材料价格.xlsx,69,FALSE,
420,20Cr13,20Cr13,0.95,材料价格.xlsx,69,FALSE,
30Cr13,30Cr13,30Cr13,0.95,材料价格.xlsx,70,FALSE,
S42030,30Cr13,30Cr13,0.95,材料价格.xlsx,70,FALSE,
X30Cr 13,30Cr13,30Cr13,0.95,材料价格.xlsx,70,FALSE,
420S45,30Cr13,30Cr13,0.95,材料价格.xlsx,70,FALSE,
S42000,30Cr13,30Cr13,0.95,材料价格.xlsx,70,FALSE,
40Cr13,40Cr13,40Cr13,0.95,材料价格.xlsx,71,FALSE,
S42040,40Cr13,40Cr13,0.95,材料价格.xlsx,71,FALSE,
X39Cr 13,40Cr13,40Cr13,0.95,材料价格.xlsx,71,FALSE,
1.4031,40Cr13,40Cr13,0.95,材料价格.xlsx,71,FALSE,
X38Cr 13,40Cr13,40Cr13,0.95,材料价格.xlsx,71,FALSE,
Z40C 14,40Cr13,40Cr13,0.95,材料价格.xlsx,71,FALSE,
6060,6060,6060,0.95,材料价格.xlsx,77,FALSE,
中等强度，耐腐蚀性能好,6060,6060,0.95,材料价格.xlsx,77,FALSE,
6061,6061,6061,0.95,材料价格.xlsx,78,FALSE,
A1MgSiCu,6061,6061,0.95,材料价格.xlsx,78,FALSE,
A-GSUC,6061,6061,0.95,材料价格.xlsx,78,FALSE,
6061-T4,6061-T4,6061-T4,0.95,材料价格.xlsx,79,FALSE,
6061-T5,6061-T5,6061-T5,0.95,材料价格.xlsx,80,FALSE,
6061-T6,6061-T6,6061-T6,0.95,材料价格.xlsx,81,FALSE,
AlMg1SiCu,6061-T6,6061-T6,0.95,材料价格.xlsx,81,FALSE,
3.3211,6061-T6,6061-T6,0.95,材料价格.xlsx,81,FALSE,
3.1645,6061-T6,6061-T6,0.95,材料价格.xlsx,81,FALSE,
3.3547,6061-T6,6061-T6,0.95,材料价格.xlsx,81,FALSE,
热处理耐腐蚀性合金,6061-T6,6061-T6,0.95,材料价格.xlsx,81,FALSE,
6061-T651,6061-T651,6061-T651,0.95,材料价格.xlsx,82,FALSE,
6063,6063,6063,0.95,材料价格.xlsx,83,FALSE,
A1MgSi0.5,6063,6063,0.95,材料价格.xlsx,83,FALSE,
A-GS,6063,6063,0.95,材料价格.xlsx,83,FALSE,
1310,6063,6063,0.95,材料价格.xlsx,83,FALSE,
6063-T6,6063-T6,6063-T6,0.95,材料价格.xlsx,84,FALSE,
5052,5052,5052,0.95,材料价格.xlsx,85,FALSE,
A1Mg2,5052,5052,0.95,材料价格.xlsx,85,FALSE,
A-G2,5052,5052,0.95,材料价格.xlsx,85,FALSE,
2L.55,5052,5052,0.95,材料价格.xlsx,85,FALSE,
耐蚀性好，焊接性优良，冷加工性较好,5052,5052,0.95,材料价格.xlsx,85,FALSE,
5053(日本进口),5053(日本进口),5053(日本进口),0.95,材料价格.xlsx,86,FALSE,
AlMg2.5,5053(日本进口),5053(日本进口),0.95,材料价格.xlsx,86,FALSE,
3.3523,5053(日本进口),5053(日本进口),0.95,材料价格.xlsx,86,FALSE,
5052-H32,5052-H32,5052-H32,0.95,材料价格.xlsx,87,FALSE,
5056,5056,5056,0.95,材料价格.xlsx,88,FALSE,
AlMg5,5056,5056,0.95,材料价格.xlsx,88,FALSE,
A-G5,5056,5056,0.95,材料价格.xlsx,88,FALSE,
5056A,5056,5056,0.95,材料价格.xlsx,88,FALSE,
5083,5083,5083,0.95,材料价格.xlsx,89,FALSE,
高镁合金,5083,5083,0.95,材料价格.xlsx,89,FALSE,
MIC6,MIC6,MIC6,0.95,材料价格.xlsx,90,FALSE,
抗腐蚀性、抗氧化性好,MIC6,MIC6,0.95,材料价格.xlsx,90,FALSE,
5183,5183,5183,0.95,材料价格.xlsx,91,FALSE,
"AlMg4,5Mn",5183,5183,0.95,材料价格.xlsx,91,FALSE,
7075(国产),7075(国产),7075(国产),0.95,材料价格.xlsx,92,FALSE,
AlZnMgCu0.5,7075(国产),7075(国产),0.95,材料价格.xlsx,92,FALSE,
AlZn5.5MgCu,7075(国产),7075(国产),0.95,材料价格.xlsx,92,FALSE,
3.4365/3.4345,7075(国产),7075(国产),0.95,材料价格.xlsx,92,FALSE,
